,Date,tweet
188,2021-06-18,many institutions expect that hybrid learning is here to stay so students and educators need the technology to support it learn how surface devices can help we will take your word for it sort of we have a clip for you are you sure no but make it professional quick and to the point exactly udderly amazing coworkers can you spot the difference it takes an average of to minutes to schedule a meeting scheduler is here to give you that time back email invite are you available on friday afternoon you tentative narrator probably not if we re being honest 
204,2021-06-17, keep up the great work priorities the new work etiquette noticed what you did there swiftly and quietly after seeing the pandemic is impact in india prarthana sannamani a software engineer at microsoft s headquarters in redmond wa was inspired to take action here is what she did throw it way back thursday your choice in our hands those were the days as if we needed another reason to play research shows video games can have a positive impact on mental and emotional health learn how gaming helps us take time for ourselves at any age the correct way to start a work day impressive v anyone it all began with a couple of folding tables here s how we applied years of research on telepresence to the new hybrid meeting experience 
221,2021-06-16, sold congrats yes well from evan to evan with the app in you can treat your colleagues to coffee with a starbucks egift check out this easy way to express your appreciation three ways you can create a culture of wellbeing and support during hybrid work tell a colleague thank you for their help on a project congratulate team members on their achievements send coffee taipei taiwan you simply can not be stopped make it your status message we would call on you bianca amazing as the pandemic led to higher demand for companion animals rspca is animal welfare programs went into overdrive learn how rspca uses microsoft teams azure and more to prioritize animal wellbeing unmutes mic hello is it me you re looking for 
239,2021-06-15, getting down to business do it pretty much brilliant iconic make us an offer powerpoint power point pow er point nicely done you deserve a snack break love it perhaps over the fireplace let is focus on the bigger picture here clippointillism hackers launch an average of million password attacks every day that is attacks per second learn how to enhance security in hybrid work environments a period piece 
256,2021-06-14, excellent point fair enough the key to successful learning whether in person remote or hybrid is meeting the individual needs of each student here is how technology can help there you go when you re listed as optional we voted for decline a true professional aligned thanks team that is fair girls who know a woman in a stem profession are much more likely to feel confident when doing stem coursework learn how an ai hackathon is inspiring young women to pursue computer science are we turning our cameras on today or nah 
271,2021-06-11,people rely on generators for backup power and typically generators rely on diesel fuel we are taking a more sustainable approach remote work humor you could say we excel at it to better understand and tailor how they serve travelers europe is railway operators are embracing the cloud full steam ahead on our way back to back virtual meetings are stressful but the research points to a simple remedy short breaks 
276,2021-06-10,jules okafor is an advocate for greater diversity and inclusion in the cybersecurity industry check out her interview on the importance of futureproofing against bias getting left on read in a microsoft teams chat hits just a little bit differently engage your classrooms connect with students and inspire their success with the latest updates to microsoft teams for education check them out space cadet 
280,2021-06-09, accurate an incredible feat exactly you mean wiggle sticks hates them the best of friends we are on a mission to put sustainability at the core of software engineering learn how our partnership with accenture thoughtworks and others aims to reduce the carbon emissions of software it is all about the aesthetic presenter let s run through this deck really quick the deck slides it must be perfect the artist is exhausted you can not rush perfection do we have especially when you are just with your dog and he knows it we are doing well thanks for asking pets are strongly encouraged and yes very soft this messaging aligns well with your handle you sure lovely as the first female with a visible disability in the european parliament katrin langensiepen advocates for inclusivity every day check out our interview with her to learn more about accessibility in the workforce the art the artist 
304,2021-06-08, why does this always happen truly amazing a little change of scenery we could not agree more bye bye bugs check out how the latest tools from microsoft research help developers write bug free software mutes mic unmutes mic mutes mic alternative meeting spaces tag yourself we are kermit por que no los dos we all have our limits can you get us a refill too tentative always tentative can not tell if this is cute or terrifying what did your keyboard ever do to you everyone can benefit from sharpening their digital skills even those with a technical background check out how microsoft initiatives around the world are setting people up for success in the digital workforce learn more about our approach we re creating and employing tools to help address the world s water challenges including scarcity pollution and ocean health worldoceansday
323,2021-06-07, we need an update on the pigeons karl klammer throw him a bone iconic practical we like it rainbow every time the nostalgia is real welcome to the dark side perfect big mood amazing teams work good luck gorgeous we will see what we can do please send a puppy pic instead sunrise or sunset a magical place this also works genius icymi just released the next round of new helpful features explore dynamic view the new and improved presenter mode and more have you ever joined a microsoft teams meeting from outside and do you have a pic to prove it 
347,2021-06-04,accessible design creates better technology for all check out how our features improve not only your experience but everyone else s too we try stay wary neil sorry stu what is your go to accurate unmutes mic no questions from me mutes mic types question in the chat as we implement a hybrid work model for more than microsoft employees across the globe we are sharing our learnings in hopes that it helps others on this journey together we have the opportunity to create a better world of work coworker do you have time for a quick chat the chat minutes 
358,2021-06-03, iconic as do we time for a break paul that is fair you are welcome new research with reveals that digitally prepared organizations had an advantage in navigating the pandemic is business challenges such as the shift to remote work dive into the findings here is the actual research tip meeting heavy day give your brain a break microsoft told you to a purrfect coworker very specific impressive the real question excellent gif choice a bold choice interesting touch if it works it works final answer a solid strategy we respect it we are committed to equipping teachers with the tools they need to succeed in the hybrid world check out how pick one where do you click first 
386,2021-06-02, perfectly fine thank you for asking this is literally your meeting you get it ben we will be there for you you know it incredible summer school can be cool thanks to these free virtual workshops for students featuring space jam minecraft and more register now opens microsoft teams sets status message currently not not responding to emails from the floor protecting your data should not require a complex password a nine digit code and your high school mascot check out how our easy to use security features keep your stuff safe enjoy this video with audio description innovate blaze trails lead here s to the game changers that are making it happen learn more at the party is in the microsoft teams chat 
398,2021-06-01, what a shame we are itching to hear more more of this a bit wordy for a title but we like it feels awkward yes go on interesting tell us more as schools move to hybrid and in person settings dependable devices and engaging learning platforms will remain as important as ever check out how technology supports success in the classroom what was the title of the best powerpoint presentation you ever made meet simone who works to improve the lives of people who are blind or have low vision through object recognition technology supported by microsoft ai learn more about dr stumpf is impact on global accessibility humansandai microsoftai gaad proud of you yes thanks for the support year is your year amazing does the bird take requests you have got this like this tweet if you ve ever won the game of minesweeper if this gets low engagement we ll know why join lgbtqi communities at microsoft as we highlight how societal issues that are often seen as separate and unrelated impact us all happy pride month 
423,2021-05-28,experience the joy of togetherness personal features in microsoft teams are now available to people around the world on desktop mobile and web this is amazing thank you for coming to our lecture precisely who could say no happy for you from providing community to de stigmatizing mental illness video games have an opportunity to positively impact mental health here is how joins meeting mutes mic unmutes mic hey everyone mutes mic sends gif in chat one small act can make a big difference learn how is using technology to support in her local community 
434,2021-05-27, exellent working hard or hardly working probably what a day total upgrade absolutely would do anything to see this masterpiece the ultimate pinball yes yes and yes australia generates million tons of waste each year and recycles only percent but that is about to change here is how dynamics is making it easier for businesses to turn waste into resources truly amazing almost that is a lot of emails now you do it is all about efficiency you had to be there james stone used the challenges life threw at him as creative fuel to realize his passions discover how id microsoft s program for helping independent game developers is making dreams come true for people like james work email inbox personal email inbox 
457,2021-05-26,we are committed to equipping teachers with the tools they need to succeed in the hybrid world check out how 
458,2021-05-25, mood impressive cloudy can we play the intern deserves a treat it is great to have you annie it is a party your tenacity is noted and appreciated can we have one you got it whether you are an experienced developer or just have an idea for a cool app the latest power platform features announced at msbuild make it easier to bring your concepts to life more from who would you want to sit next to tag them below where have you always wanted to have a virtual meeting announced at msbuild we re giving developers a toolkit to design their own together mode scenes for microsoft teams looking good what a champ we second that your officemates seem like great listeners most definitely please no you really should just a quick cat nap we are honored overwhelmingly cool nice catch with the help of accenture and goldman sachs we are developing and sharing ways to build software that produces fewer carbon emissions the software is greener on the other side of msbuild power apps are all you knead being a developer is possible for anyone who wishes to shape the future msbuild love this for you we were born ready this set up the role of developers has become more expansive and important than ever join ceo at msbuild to learn how microsoft is creating new opportunities across our platforms and tools extra points for the donuts almost there 
503,2021-05-24, clever a wise choise aligned truly would accept how could you be mad at that face we thought so too incredible we will pass along your compliment khajiit is an artistic genius now available in microsoft flight simulator the first ever ultralight plane top rudder solo take it for a spin customize your teams theme microsoft teams dark mode that s the tweet microsoft is teaming up with the uk government and seeability to bridge the disability divide among jobseekers learn how this partnership tackles employment training and social isolation good luck the sweetest helper turns on autosave you have got this we believe in you truly a fantastic alternative the art the artist register for msbuild a free all digital event set a reminder to catch the stream we are continuing to build tech to help you bring your ideas to life regardless of your tech knowledge tune in to tomorrow morning at am to join ceo as he takes the virtual stage msbuild join a conversation around mental health awareness with blue boy foundation t a of amp it s a continuation of lauv s ai powered project with microsoft my blue thoughts to all students who recently finished their final exams windows logo key x shut down or sign out sleep
537,2021-05-21, jealous short and sweet also a great option the worst you are welcome what s your favorite way to end an email we believe in you wait what day is it please give tucker all the treats bird is the word yes according to new research nearly of students say the pandemic worsened their ability to stay engaged are you one of them here is how microsoft teams for education can make learning more interactive here s how to reduce background noise in teams meetings joins meeting mutes mic unmutes mic dogs bark cats meow whistles blow landscapers arrive car horns beep mutes mic the future of work is flexible get microsoft is guide to help every organization make the shift to hybridwork today worktrends futureofwork
563,2021-05-20, wow never again too real incredible oops love that for you meet the people who are using science technology and human ingenuity to help carry us through and beyond the pandemic join us now for our first episode of the new resilience series discover how we are innovating to understand and act the next phase of our accessibility journey is a new technology led five year commitment to create and open doors to bigger opportunities for people with disabilities more on this initiative 
576,2021-05-19, word it is an exciting update we believe in you this makes us so happy good eye us too sue now you can host interactive meetings and webinars for up to attendees with microsoft teams learn how to deliver polished professional presentations ny ny brb checking on this so the save button but make it a computer program this is too real we love this young at heart they were indeed whether working at home or at the office security is a team sport check out these tips for the world of hybrid s most iconic duo 
597,2021-05-18, you got that right amazing very blissful indeed innovative we love this approved they say the best way to learn is by doing check out how project ares builds students cybersecurity skills through hands on learning your brain needs breaks between meetings love that for you would invite to every teams call we knew you had good taste amazing dating all the way back to the s the national rugby league has preserved games and moments from every decade now they are available for rugby fans to enjoy online discover how the blibbet it s time to register for msbuild explore what s next in tech at this free all digital event 
620,2021-05-17, alainan just vibes joins meeting no camera no mic just chat believe her is an app that provides a safe space for black mothers and their loved ones to connect with a peer support network learn more about the work this nonprofit is doing read all about it microsoft sustainable packaging goals single use plastic packaging elimination by certified sustainability forested fiber by recyclable packaging by recycled renewable or responsibly sourced content by attention all teachers navigating hybrid learning can be tricky so we created free trainings on teaching with technology in any environment boost your technical skills with these resources 
634,2021-05-14, thank you it happens you and everyone else we will count it we feel that we take it all back hi riley floor emails you are welcome pug snugs are essential cat people are always welcome here purrrrfect you are ahead of the game good thanks might be a snug fit glad to know we are on the same track a more inclusive and accessible reading experience is now available in powerpoint for the web onedrive sharepoint and makecode learn more about the immersive reader it s ctrl ccccccc and then ctrl v gamers with disabilities are making new connections across the world thanks to the right tools learn how the xbox adaptive controller is making it possible tip block off the first hour of your day to catch up on email and lay on the floor with your dog 
663,2021-05-13, precisely what a feeling amazing they say brevity is the soul of wit so fun also love the shirt nature breaks are essential yes this also works exactly out of our hands daystrike camo refuse to blend in when technology is made with accessibility in mind everyone benefits check out how live transcription with speaker attribution in microsoft teams can make meetings better for all love it we are aligned take it to the chat maybe next time keyboard asmr yes thank you sorry jim it is all of us if you have rescheduled a meeting more than three times is it time to take the conversation to a microsoft teams chat when responding to medical emergencies every second counts that is why london is air ambulance uses microsoft powerapps to make sure its trauma teams have all the gear they need unmutes mic waits seconds to say something types in the chat instead mutes mic 
690,2021-05-12, you are always invited wowwww v cute you are welcome now that is an idea thank you enjoy register now for msbuild microsoft build free all digital can bring your own snacks it is a challenging job market but career coach in microsoft teams for education is here to help the students of today become the workforce of tomorrow learn how a little paperclip heat for your phones wallpaperwednesdays it is either bethesbox or bethesbox today steve we believe you very clever you and everyone else proud of you still impressive can you geography should not limit possibility that is why xbox created game camps to increase diversity and equity in the next generation of game developers how many times have you played the game of minesweeper 
723,2021-05-11, we support this big day depends on who is asking absolutely not completely swamped opens microsoft teams sets status message if my indicator is red it means i m either busy or busy the perfect study buddy could not agree more when necessary love this for you we like how you think community doctors in taiwan are taking telehealth to the next level with mixed reality technology discover how hololens helps medical professionals collaborate remotely and treat more patients here s the research that proves why normalize breaks between meetings 
748,2021-05-10, these are superb impressive this is amazing abstract love it wipes tear this one is going up on the fridge beautiful love the detail nailed it yes great brush work flawless wow we love it approvals check we heard your feedback and new updates to approvals on microsoft teams are here to get you faster results could have used a little more cowbell loving the enthusiasm incredible appreciate you jay knew we could count on you thanks suraj show us your best microsoft paint creation and we may make it our cover photo in france of people with autism are unemployed actimage is working to change that discover how the company is using mixed reality to train people with autism for job interviews we just say social media manager is anyone available to monitor the chat 
779,2021-05-07,when the pandemic shuttered schools many families did not have the tools to switch their kids to remote learning check out how one nonprofit is bridging the digital divide electric volt get your travel fix virtually take flight over paris amsterdam and more in the latest world update for microsoft flight simulator joins meeting turns camera on unmutes mic you know what type of day you re having 
783,2021-05-06,more than two thirds of employees want flexible working to stay dive into the research and what the future holds for hybrid work whether you re new to the scene or an experienced app developer msbuild will have what you re searching for learn skills specific to what you do at this free all digital event follow for updates and register today s solitaire is calling do you answer kat rowlands faced big hurdles when she took over a small newsroom limping along with very old technology three years ago she partnered with microsoft news using microsoft and power bi to transform the way bay city news covers the region this past year businesses were forced to evolve digitally in order to remain resilient conducted new research digging into the impact of tech across industries during the pandemic and share their findings here 
788,2021-05-05,a word to the wise modern comments are here to help you write work and collaborate better word access to experts anytime from anywhere the hololens is making it possible for medlab to find new ways of addressing some of the biggest health challenges some retro flair for your phones wallpaperwednesday flatten the curve and get to zero cases globally that is the goal of progress to zero is passion for data is helping the world understand and address the pandemic s spread with microsoft ai for good learn more humansandai microsoftai 
793,2021-05-04, is it okay if we move this to tomorrow the answer is yes sabrina ionescu does not just shoot hoops she shoots for the stars discover how she powered her dreams and is inspiring other young girls to do the same with a custom xbox normalize providing agendas with meeting invites s world changing ideas is focused on social good seeking to elevate finished products and brave concepts that make the world better we re honored to be included on this list fcworldchangingideas remember being called on in class and feeling nervous about reading out loud in front of everyone educators are using a new tool called reading progress to make it a little easier for students in remote and hybrid learning learn more throughout history and in this particularly challenging year the asian community including the microsoft aapi employee community has united to activate allyship amp lift voices when we learn from lived experiences we can build a better world together 
799,2021-05-03,how it started how it s going wow is this real we appreciate you thank you you as well give love get love from updating your budget in excel to traveling on the go with the office app new updates to microsoft are here to help you succeed have you ever joined a microsoft teams meeting that doesn t actually start until tomorrow 
811,2021-04-30,now optics has a vision for the future of eye care and it is virtual discover how the company is relying on the cloud to deliver care to those in need regardless of location we love a shiny distraction you are living in yes we love this notwas a different time ah yes we know the feeling well to the person who runs the account thank you for your tweets today fewer wires and a more crystal clear sound the wireless headset is here microsoft word and excel inch disks circa what s next in tech and the future of hybrid work find out at msbuild a free all digital event on may register now catch ceo and at pm et today for time talks register here 
826,2021-04-29, facts this is amazing wow there are two types of people no judgment dwan so yes more than today we challenge you to get to that is what we like to call growth happy for you but also please read your emails is this even real a few too many incredible work oh ian safety first check out how the latest security features on microsoft teams help you collaborate securely keep us posted we insist confidence is key always we are with you maybe next time your consensus is noted happy birthday sweet mabel and that simply cannot be rushed you are welcome that is open to interpretation we have got you covered at that point maybe just decline the meeting we applaud your punctuality an acceptable reason do you have more than emails in your inbox or do you have zero chocolate chip oatmeal raisin or web here is how to choose your cookies wisely it s okay if you show up a few minutes late to a meeting refer to this tweet if someone says otherwise 
866,2021-04-28, april st grateful for you shahin fine it is a fast paced digital world we live in you are doing amazing oh you sigh based on how the meeting went comedy or drama the best confidence booster a single ha is better than none at all late laughs are better than none important decisions are never easy a classic the energy we need iconic dahling paul gets it support office jokesters and the award for the most spot on gif reply goes to love your enthusiasm you have great taste in tech products but why good point what would make these logos even more rad you upload one as your next microsoftteams background today more than billion people worldwide do not have access to simple surgical operations discover how microsoft technology is connecting underserved communities through shared surgery wowwwww spoken like a true font connoisseur are you the serif sheriff wow it is complicated kyle clever we were hoping for wingdings but alas smh thanks kyle a strong choice it is going to be okay pallavi you are absolutely glowing today thanks so much dona we are very focused on all employee customer feedback accessibility is always top of mind through the products we create well we can not guarantee we will follow you but we still think you are a lt us right now thanks for bringing the good vibes we are loving your outlook normalize unmuting your mic to laugh at someone s joke same to you you are absolutely crushing it christopher grateful for your positivity hi to you and the cute cat in your header datacom turned to microsoft teams to keep new zealand s essential services running faster than ever during the pandemic here is how they achieved two years worth of migration in a week we are having an excellent day thank you hope you are as well welcome to the family you are the best why thank you as do you right back at you we say your spidey is pretty awesome too we think you are awesome it is payitforwardday and you deserve a compliment leave a comment below and maybe you will get one do not worry while calibri will not be the default it will always be available we have commissioned five original custom fonts to eventually replace calibri as the default help us decide we need to talk what should our next default font be 
932,2021-04-27, wow ron it is the move we will see what we can do thank you for postponing this forever impressive new best friends looking forward to it everyone wants to know who manages this account now you have a chance apply conservation planners are maximizing biodiversity and ecological protection with marxan the analytic engine behind major conservation projects discover how adventure typing tutor and olympic decathlon business highlights more personal computing windows oem revenue windows commercial products and cloud services revenue xbox content and services revenue search advertising revenue surface revenue business highlights intelligent cloud server products and cloud services revenue azure revenue growth business highlights productivity amp business processes office commercial revenue office consumer revenue linkedin revenue dynamics products and cloud services revenue q fy revenue by segment productivity amp business processes billion intelligent cloud billion more personal computing billion commercial cloud revenue billion thread msft q earnings just announced microsoft q earnings revenue billion operating income billion net income billion gaap billion non gaap eps gaap non gaap read the full microsoft s q earnings release here note about forward looking statements in earnings tweets no i have to gather my snacks facts iconic but who could be mad at that face sounds good not a morning person lincoln correct enough is enough you nailed it kip welp you get us also a great option we support this good thinking we could all use a little more balance between life and work discover how ai in microsoft lets you take control of your time is it okay if we reschedule the answer is always yes 
969,2021-04-26, another important consideration same both so far so good is your digital keychain getting heavy check out these tips to combat password fatigue simba hi lyka it had to happen once this call also a great choice reminder build your schedule around meals when technology is inclusive everyone benefits discover how new microsoft teams accessibility features like live captions and dynamic view can help everyone be more productive to do today upload this as your microsoft teams background pic and impress all of your friends 
987,2021-04-23,watercare delivers around million liters of water to million people every day discover how the company is digitally transforming with the cloud um what this you get it a very sleepy trio indeed every time no who does not love the golden hour a purrfect helper love it hello pixie great hiding spot lola alba is lookin good so mischevious best buds since day one you had us at merlot the number of women in technical roles at microsoft increased from to according to our global diversity amp inclusion report however our efforts will continue learn more beary clever no one needs to know the perfect combo this is so wholesome hi neo sweet gus boops we nova big mood hi mando oh were you trying to use this snuggle buddy what a sweetie big yawn snoops needs a boop unmutes mic waits seconds to say something to self should i say something decides not to say anything mutes mic infographic inspired experiences intuitive interactive search results faster startup times here is what better browsing looks like with microsoft edge and bing please share pictures of your pets in our replies 
1034,2021-04-22, we see what you did there of course personal experience that is just cruel researchers are finding the information they need more easily with microsoft biomedical search discover what this means for future medical advances collaborate and create with microsoft whiteboard get real time feedback with polls transform your presenting experience with powerpoint live get started with these collaboration tools in microsoft teams of course exactly uh ohhhh happy little mountains happy little clouds we are with you there incredible tired per my last email wired per my last email oh good question or the happiest rob cow workers normalize starting meetings on time we believe in you seth during an game there are millions of data points that can be analyzed by ai amp machine learning tools providing crucial data for teams amp coaches now with nba courtoptix powered by microsoft azure fans will be able to access these insights too reduce background noise in teams meetings you i think i ll unmute my mic for this microsoft teams meeting the road construction outside your window not today yes this is real microsoft paint art all the credit on earth to artist 
1060,2021-04-20, decline decline tentative pets are always welcome theo is the best coworker this is absolutely incredible can you send us a dm using the link below automatically shorten the meetings you schedule i love back to back meetings said literally no one ever is bringing the joy of gaming to even more people in their preferred language check out how we re testing the sustainability and reliability of underwater datacenters get an up close look at how it all works in this degree video we re at the forefront of cloud innovation continually seeking to improve the security reliability and sustainability of our datacenters we re powering our datacenters with people in mind making sure our operations happen in a secure reliable and sustainable manner data travels from servers to the network room which is linked to our global network of datacenters the server room is the heart of the microsoft cloud s massive computing and storage capacity step into the lobby the frontlines of physical datacenter security from remote work to online shopping we depend on cloud computing take a step inside our virtual datacenter to learn how the microsoft cloud works for the first time ever take a d tour through a microsoft datacenter normalize breaks between meetings here s the research that proves why 
1080,2021-04-19, your list when women speak their truth it generates power learn more about believe her a new app that is part of a growing movement in advocacy and technology by black women food safety delivered discover how ai is helping build confidence in cloud kitchens every day you are shufflin forget very art here s a solar system being created in paint d just a supportive friend right back at you sips coffee we feel that liz how are we halfway through april lucky guess how are you feeling you ve hardly touched that powerpoint deck you started working on days ago 
1098,2021-04-15,your powerpoint presentations are about to be on point thanks to the presenter coach feature learn how it uses ai to help your presentation skills momo you are so brave you can not rush perfection they just keep clickin twice smh brad oh xobx never would have guessed the answer is a resounding yes now wait a minute us what s that noise you it s the sound of you ferociously typing go ahead when you are ready the family is better than ever with bethesda check out the iconic games now playable with xbox game pass which microsoftteams emoji are you today ol you snooze you lose big mood so far so good william no you too mahala thanks my guy this gif we would love some thank you ernest you as well tea sounds lovely thank you i am sorry dave i am afraid i can not do that i have come to talk with you again it was for naught we are old friends who sometimes bicker hope you are having a relaxing morning hi well done i must have called a thousand times seriously why are not you taking my calls nm hbu wow hello 
1149,2021-04-14,teachers consider social emotional learning an even higher priority than ever before here is how microsoftteams for education can support your digital classroom we are lovin it happy to help thanks for this gif lili you are welcome whenever you can you are asking the important questions same you get it tom reminder block off at least one hour of your time tomorrow hospitals screening centers and clinics in multiple countries are increasingly turning to fast and accurate ai technology to better treat patients learn more about ai aided chest x ray exams relatable the most aries thing we have ever heard yes every time love this for you oops accurate welcome aries how it started how it is going when the pandemic caused new zealand to enter a full country lockdown genesis energy sought innovative solutions to keep its power station maintenance program on schedule check out how hololens made it possible any aries i m not mad i m just wondering why you took so long to join the meeting you i am actually two minutes early 
1177,2021-04-13,research suggests that the future of work is hybrid here is how to prepare and foster a dynamic work world inable is revolutionizing how blind and low vision students take exams learn more about the microsoft ai for accessibility grant recipient one of the things that i feel the most proud of as a company is when you go drop yourself anywhere on the planet there will be a microsoft partner ecosystem more from ceo on how we re working with mspartner organizations in 
1180,2021-04-12,we re excited to accelerate our industry cloud strategy for healthcare with the acquisition of nuance combining solutions and expertise to deliver new cloud and ai capabilities across healthcare and other industries 
1181,2021-04-10,the mashup you never knew you needed 
1182,2021-04-09, wowwww thank you they grow up so fast linkedin career expert catherine fisher explains that the focus on skills over qualifications opens the doors for both employers and job seekers more from on how we are partnering with linkedin to build a more inclusive economy microsoft s most recent logo unveiled in august it certainly would do not be shy share with the class a crucial contribution who is winning you can we like ping every morning if someone asks you where microsoft started the most accurate response is somewhere between a harvard dorm room and the american southwest the original office building in albuquerque new mexico is pictured here 
